sample_id	adeA	adeB	adeC	adeI	adeJ	adeK	adeR	adeS	blaOXA-23	blaOXA-69	crr_adeA	crr_adeB	crr_adeC	crr_adeI	crr_adeJ	crr_adeK	crr_adeR	crr_adeS	crr_blaOXA-23	crr_blaOXA-69
ERR197629	1	1	1	1	1	1	1	1	1	1	1.0758605356913111	0.7894218725982842	0.0093604085013577	1.0110518850070804	0.9791367649529764	1.121532967079962	1.0704046082546843	1.347590527170693	0.0	1.1644324741699703
ERR197630	1	1	1	1	1	1	1	1	1	1	1.2024774790336878	0.8522826500228557	0.0266403416422342	1.0309640027646174	1.1293029587672236	1.2736487415491111	1.0174792534727393	1.3331612639475523	0.0	1.0532974056973206
ERR197631	1	1	1	1	1	1	1	1	1	1	1.0527909614705508	1.0916029768879487	1.3303419455850416	1.0837786226311397	1.024492049274474	1.0761174779545737	1.0606920668815465	1.2212172107748147	0.0	1.1369130282190485
ERR197633	1	1	1	1	1	1	1	1	1	1	1.0591317465770569	0.782729251775662	0.0	1.1381359185809687	1.083214423769802	1.2140790009195304	1.0525490173999343	1.2987712955386417	0.0	1.2255494839425698
ERR197635	1	1	1	1	1	1	1	1	1	1	0.0167196364550987	1.1083832597273475	1.3157338235737233	0.9064755597369074	0.9242632359074292	1.0787112731217403	0.0073047755318927	0.0083586610424114	0.0	1.274262996708596
ERR197636	1	1	1	1	1	1	1	1	1	1	1.1748195239496229	0.8781645967806346	0.0207905107735663	1.1379878855715748	1.1174214780656504	1.1144000613339544	1.023701015767645	1.218877176907064	0.0	1.151361104697175
ERR197637	1	1	1	1	1	1	1	1	1	1	0.0074162362240329	0.4603965645024808	1.1671543462284382	1.038010610729962	0.9844814580623108	1.1350762089411608	0.0025897547358237	0.8246038129447136	0.0	1.1255664891375878
ERR197638	1	1	1	1	1	1	1	1	1	1	0.0801477508410798	1.0815489813708727	1.154819559974306	1.0446001765147697	0.9767245495189202	1.096263622870706	0.0689018794079602	0.0817131567202228	0.0	1.1506450285487584
ERR197639	1	1	1	1	1	1	1	1	1	1	0.0039702484943355	1.0505321696917709	1.2108907229554702	1.0892038926143714	1.1262510313653875	1.266416030353693	0.0102111090114351	0.0013233667282707	0.0	1.1846762864045923
ERR197640	1	1	1	1	1	1	1	1	1	1	1.157769590102257	0.8071044207062127	0.0	1.1046645335876937	1.1646015538065946	1.2004277509948762	1.1045551688166395	1.2159866993780644	0.0	1.0326651248112528
ERR197642	1	1	1	1	1	1	1	1	1	1	1.099398394940449	0.8346562655083911	0.0	1.030695889474871	1.1172850811961856	1.117654425397528	0.9905419271027684	1.2345146150274409	0.0	1.0605270693330926
ERR197643	1	1	1	1	1	1	1	1	1	1	1.1667929525032363	1.0668594283170452	1.235886022747599	1.1807125691240064	1.189342790143894	1.203471051373198	1.0409261018953284	1.2765091120468477	0.0	1.0859612306592323
ERR197644	1	1	1	1	1	1	1	1	1	1	1.1831504467357754	0.8581575871260556	0.0013399491781968	1.0681576145795235	1.1190209784666043	1.147217314377389	1.021529247092255	1.290379134467245	0.0	1.1252607648881046
ERR197645	1	1	1	1	1	1	1	1	1	1	1.0429833426639168	0.7466659280478468	0.003930106013549	1.1557590763771977	1.0001758017460822	1.1841860681632523	1.0403189267605488	1.257826992008929	0.0	1.1982530752560698
ERR197646	1	1	1	1	1	1	1	1	1	1	1.0527283058181005	0.7595578927478571	0.0025330051875203	0.9996771949461002	1.0559387254044057	1.2188815020813193	0.9685230584796712	1.3592219059793709	0.0	1.0769832820997192
ERR249218	1	1	1	1	1	1	1	1	1	1	1.0962814487055454	0.989644550364104	0.9939962057180574	1.0027948334742491	0.9642512898912906	0.8993107247430971	0.9281918873857532	1.0621977411793695	0.0015856346825974	0.9559269337613088
ERR249288	1	1	1	1	1	1	1	1	1	1	0.9925726207730678	1.0420612063962404	0.9819306393739852	0.9702938373236292	0.9834767369707532	0.987637551156105	0.9570272261931804	1.0399938911618294	0.0	0.9484661603362148
ERR249292	1	1	1	1	1	1	1	1	1	1	0.9387158595049276	0.971578372489039	0.9484281839563816	1.0160444045162491	0.9861599894393334	0.985407540708045	0.9772476664659276	1.0678873532046402	0.0049228744558878	1.056465008384025
ERR249294	1	1	1	1	1	1	1	1	1	1	1.1154535952149391	1.0561828541965603	1.0533358902313144	1.0261443050015873	0.9483418185299348	1.0420221987467015	0.9849091891396644	1.0346219943440016	0.0066340368481722	1.061131896402134
ERR249297	1	1	1	1	1	1	1	1	1	1	1.0139616489373446	1.078172647583374	1.060914335845425	1.0100102490823002	0.9911476640560176	0.923393228980188	0.997725090209148	1.0752668013173148	0.0356636339488559	0.9881505167915452
ERR263722	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.0449984882585685	0.501570941351632	1.1947082235406037	0.9526777882449988	0.8510811599577194	1.0159199113140724	0.041430326448199	0.9496872413713204	0.0488925163105746	1.267778898716411
ERR263723	1	1	1	1	1	1	1	1	1	1	1.1290906772355855	0.8234611200792693	0.003336390352076	1.1051890968193847	1.0062140654836842	1.154935824074122	0.9998036094407234	1.2882563009544346	0.0011233089852647	1.2327257167707832
ERR263724	1	1	1	1	1	1	1	1	1	1	1.1457535394149594	0.8285689954266234	0.0235346451780318	1.0778594213215424	1.0616638620036951	1.1291310677580315	1.0685576315975942	1.3526118700604426	0.0	1.1359268630911228
ERR263725	1	1	1	1	1	1	1	1	1	1	0.0021668683381006	0.4473117040385949	1.2967833779578473	1.0977937623058638	1.1250986803187335	1.258540379868698	0.0	0.7768376057229128	0.0	1.09679955818092
ERR263726	1	1	1	1	1	1	1	1	1	1	0.0013265426547333	0.4709446264734789	1.1727624199513935	0.9281321191586356	0.978521694759803	1.0642565553676888	0.0035442710553116	0.7784834498610798	0.001343441014126	1.0657516796590332
ERR263727	1	1	1	1	1	1	1	1	1	1	0.0068888383223665	0.3916605477795572	1.1967025429276423	1.1565555439890052	1.171900846403857	1.3657702480629748	0.0008433402205187	0.7360705304299915	0.0	1.0644503031262715
