accession	layout	r1_url	r2_url	biosample	read_count	stratum
ERR026707	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026707/ERR026707_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026707/ERR026707_2.fastq.gz	SAMEA862624	2093505	r
ERR026709	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026709/ERR026709_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026709/ERR026709_2.fastq.gz	SAMEA862622	2450885	r
ERR026710	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026710/ERR026710_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026710/ERR026710_2.fastq.gz	SAMEA862627	2370458	r
ERR029342	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029342/ERR029342_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029342/ERR029342_2.fastq.gz	SAMEA800387	3437820	u
ERR029343	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029343/ERR029343_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029343/ERR029343_2.fastq.gz	SAMEA800313	3590564	u
ERR029344	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029344/ERR029344_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029344/ERR029344_2.fastq.gz	SAMEA800312	4311872	u
ERR029348	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029348/ERR029348_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029348/ERR029348_2.fastq.gz	SAMEA800348	4022078	u
ERR029349	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029349/ERR029349_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029349/ERR029349_2.fastq.gz	SAMEA800310	3179680	u
ERR029350	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029350/ERR029350_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029350/ERR029350_2.fastq.gz	SAMEA800309	3417270	u
ERR029351	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029351/ERR029351_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029351/ERR029351_2.fastq.gz	SAMEA800308	3061165	u
ERR029352	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029352/ERR029352_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029352/ERR029352_2.fastq.gz	SAMEA800307	4214047	u
ERR029355	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029355/ERR029355_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029355/ERR029355_2.fastq.gz	SAMEA800193	1164261	u
ERR029357	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029357/ERR029357_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029357/ERR029357_2.fastq.gz	SAMEA800198	2911333	u
ERR029358	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029358/ERR029358_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029358/ERR029358_2.fastq.gz	SAMEA800366	3620371	u
ERR029359	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029359/ERR029359_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029359/ERR029359_2.fastq.gz	SAMEA800243	5921461	u
ERR029362	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029362/ERR029362_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029362/ERR029362_2.fastq.gz	SAMEA800306	3682638	u
ERR029363	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029363/ERR029363_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029363/ERR029363_2.fastq.gz	SAMEA800315	3742041	u
ERR029364	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029364/ERR029364_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029364/ERR029364_2.fastq.gz	SAMEA800314	3949776	u
ERR029368	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029368/ERR029368_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029368/ERR029368_2.fastq.gz	SAMEA800189	4465337	u
ERR029373	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029373/ERR029373_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029373/ERR029373_2.fastq.gz	SAMEA800368	4217514	u
ERR029374	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029374/ERR029374_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029374/ERR029374_2.fastq.gz	SAMEA800367	3583257	u
ERR029376	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029376/ERR029376_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR029/ERR029376/ERR029376_2.fastq.gz	SAMEA800361	3658024	u
