accession	layout	r1_url	r2_url
ERR1216999	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1216999/ERR1216999_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1216999/ERR1216999_2.fastq.gz
ERR1217002	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1217002/ERR1217002_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1217002/ERR1217002_2.fastq.gz
ERR1217004	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1217004/ERR1217004_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1217004/ERR1217004_2.fastq.gz
ERR1217006	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217006/ERR1217006_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217006/ERR1217006_2.fastq.gz
ERR1217019	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1217019/ERR1217019_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1217019/ERR1217019_2.fastq.gz
ERR1217020	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1217020/ERR1217020_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1217020/ERR1217020_2.fastq.gz
ERR1217022	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1217022/ERR1217022_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1217022/ERR1217022_2.fastq.gz
ERR1217023	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1217023/ERR1217023_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1217023/ERR1217023_2.fastq.gz
ERR1217025	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1217025/ERR1217025_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1217025/ERR1217025_2.fastq.gz
ERR1217027	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1217027/ERR1217027_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1217027/ERR1217027_2.fastq.gz
ERR1217028	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1217028/ERR1217028_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1217028/ERR1217028_2.fastq.gz
ERR1217029	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1217029/ERR1217029_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1217029/ERR1217029_2.fastq.gz
ERR1217030	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1217030/ERR1217030_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/000/ERR1217030/ERR1217030_2.fastq.gz
ERR1217034	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1217034/ERR1217034_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1217034/ERR1217034_2.fastq.gz
ERR1217036	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217036/ERR1217036_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1217036/ERR1217036_2.fastq.gz
ERR1217037	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1217037/ERR1217037_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1217037/ERR1217037_2.fastq.gz
ERR1217038	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1217038/ERR1217038_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1217038/ERR1217038_2.fastq.gz
