sample_id	Species	ST	sample_accession
ERR1616364	Klebsiella pneumoniae	ST22	SAMEA4427331
ERR1616365	Klebsiella pneumoniae	ST432	SAMEA4427332
ERR1616366	Klebsiella pneumoniae	ST14	SAMEA4427333
ERR1616367	Klebsiella pneumoniae	ST1193	SAMEA4427334
ERR1616368	Klebsiella pneumoniae	ST392	SAMEA4427335
ERR1616369	Klebsiella pneumoniae	ST101	SAMEA4427336
ERR1616370	Klebsiella pneumoniae	ST37	SAMEA4427337
ERR1616371	Klebsiella pneumoniae	ST261	SAMEA4427338
ERR1616372	Klebsiella pneumoniae	ST15	SAMEA4427339
ERR1616373	Klebsiella pneumoniae	ST307	SAMEA4427340
ERR1616374	Klebsiella pneumoniae	ST307	SAMEA4427341
ERR1616375	Klebsiella pneumoniae	ST307	SAMEA4427342
ERR1616376	Klebsiella pneumoniae	ST252	SAMEA4427343
ERR1616377	Klebsiella pneumoniae	ST29	SAMEA4427344
ERR1616378	Klebsiella pneumoniae	ST391	SAMEA4427345
ERR1616379	Klebsiella pneumoniae	ST896	SAMEA4427346
ERR1616380	Klebsiella pneumoniae	ST29	SAMEA4427347
ERR1616381	Klebsiella pneumoniae	ST3029	SAMEA4427348
ERR1616382	Klebsiella pneumoniae	ST1611-2LV	SAMEA4427349
ERR1616383	Klebsiella pneumoniae	ST101	SAMEA4427350
ERR1616384	Klebsiella pneumoniae	ST395	SAMEA4427351
ERR1616385	Klebsiella pneumoniae	ST395	SAMEA4427352
ERR1616386	Klebsiella pneumoniae	ST392	SAMEA4427353
ERR1616387	Klebsiella pneumoniae	ST15	SAMEA4427354
ERR1616388	Klebsiella pneumoniae	ST1193	SAMEA4427355
ERR1616389	Klebsiella pneumoniae	ST1593	SAMEA4427356
ERR1616390	Klebsiella pneumoniae	ST37	SAMEA4427357
ERR1616391	Klebsiella pneumoniae	ST1419	SAMEA4427358
ERR1616392	Klebsiella pneumoniae	ST268	SAMEA4427359
ERR1616393	Klebsiella pneumoniae	ST432	SAMEA4427360
ERR1616428	Klebsiella pneumoniae	ST17	SAMEA4427395
ERR1616429	Klebsiella pneumoniae	ST37	SAMEA4427396
ERR1616430	Klebsiella pneumoniae	ST432	SAMEA4427397
ERR1616431	Klebsiella pneumoniae	ST395	SAMEA4427398
