accession	layout	r1_url	r2_url	biosample	read_count	stratum
DRR386696	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386696/DRR386696_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386696/DRR386696_2.fastq.gz	SAMD00498192	1643329	u
DRR386702	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386702/DRR386702_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386702/DRR386702_2.fastq.gz	SAMD00498198	804676	u
DRR386736	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386736/DRR386736_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386736/DRR386736_2.fastq.gz	SAMD00498232	965430	u
DRR386737	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386737/DRR386737_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386737/DRR386737_2.fastq.gz	SAMD00498233	1085072	u
DRR386753	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386753/DRR386753_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386753/DRR386753_2.fastq.gz	SAMD00498249	756877	u
DRR386754	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386754/DRR386754_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386754/DRR386754_2.fastq.gz	SAMD00498250	907846	u
DRR386758	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386758/DRR386758_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386758/DRR386758_2.fastq.gz	SAMD00498254	2823168	u
DRR386759	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386759/DRR386759_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386759/DRR386759_2.fastq.gz	SAMD00498255	1853511	u
DRR386768	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386768/DRR386768_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386768/DRR386768_2.fastq.gz	SAMD00498264	1385295	u
DRR386798	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386798/DRR386798_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386798/DRR386798_2.fastq.gz	SAMD00498294	1389116	u
DRR386799	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386799/DRR386799_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386799/DRR386799_2.fastq.gz	SAMD00498295	1561655	u
DRR386808	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386808/DRR386808_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386808/DRR386808_2.fastq.gz	SAMD00498304	1530733	u
DRR386818	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386818/DRR386818_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386818/DRR386818_2.fastq.gz	SAMD00498314	1151287	u
DRR386839	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386839/DRR386839_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386839/DRR386839_2.fastq.gz	SAMD00498335	1057637	u
DRR386840	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386840/DRR386840_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386840/DRR386840_2.fastq.gz	SAMD00498336	1078372	u
DRR386844	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386844/DRR386844_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386844/DRR386844_2.fastq.gz	SAMD00498340	1326255	u
DRR386848	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386848/DRR386848_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386848/DRR386848_2.fastq.gz	SAMD00498344	1073922	u
DRR386862	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386862/DRR386862_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386862/DRR386862_2.fastq.gz	SAMD00498358	1413455	u
DRR386879	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386879/DRR386879_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386879/DRR386879_2.fastq.gz	SAMD00498375	1038755	u
