sample_accession	run_accession	aws_url
SAMD00108784	DRR122468	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108784.fa.gz
SAMD00108785	DRR122469	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108785.fa.gz
SAMD00108786	DRR122470	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108786.fa.gz
SAMD00108788	DRR122472	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108788.fa.gz
SAMD00108789	DRR122473	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108789.fa.gz
SAMD00108790	DRR122474	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108790.fa.gz
SAMD00108791	DRR122475	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108791.fa.gz
SAMD00108792	DRR122476	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108792.fa.gz
SAMD00108793	DRR197034	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108793.fa.gz
SAMD00108797	DRR122480	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108797.fa.gz
SAMD00108799	DRR122482	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108799.fa.gz
SAMD00108800	DRR122483	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108800.fa.gz
SAMD00108801	DRR122484	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108801.fa.gz
SAMD00108802	DRR122485	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108802.fa.gz
SAMD00108806	DRR122489	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108806.fa.gz
SAMD00108807	DRR122490	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108807.fa.gz
SAMD00108808	DRR122491	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108808.fa.gz
SAMD00108809	DRR122492	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108809.fa.gz
SAMD00108810	DRR122493	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108810.fa.gz
SAMD00108814	DRR122497	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108814.fa.gz
SAMD00108819	DRR122502	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108819.fa.gz
SAMD00108820	DRR122503	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108820.fa.gz
SAMD00108822	DRR122505	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108822.fa.gz
SAMD00108823	DRR122506	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108823.fa.gz
SAMD00108824	DRR122507	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108824.fa.gz
SAMD00108825	DRR122508	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108825.fa.gz
SAMD00108828	DRR122511	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108828.fa.gz
SAMD00108830	DRR122513	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108830.fa.gz
SAMD00108831	DRR122514	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108831.fa.gz
SAMD00108832	DRR122515	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108832.fa.gz
SAMD00108833	DRR122516	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108833.fa.gz
SAMD00108834	DRR122517	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108834.fa.gz
SAMD00108835	DRR122518	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108835.fa.gz
SAMD00108836	DRR122519	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108836.fa.gz
SAMD00108838	DRR197036	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108838.fa.gz
SAMD00108840	DRR122522	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108840.fa.gz
SAMD00108842	DRR122524	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108842.fa.gz
SAMD00108844	DRR122526	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108844.fa.gz
SAMD00108846	DRR122528	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108846.fa.gz
SAMD00108847	DRR122529	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108847.fa.gz
SAMD00108850	DRR122532	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108850.fa.gz
SAMD00108852	DRR122534	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108852.fa.gz
SAMD00108853	DRR122535	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108853.fa.gz
SAMD00108854	DRR122536	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108854.fa.gz
SAMD00108855	DRR122537	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108855.fa.gz
SAMD00108857	DRR122538	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108857.fa.gz
SAMD00108858	DRR122539	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108858.fa.gz
SAMD00108859	DRR122540	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108859.fa.gz
SAMD00108860	DRR122541	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108860.fa.gz
SAMD00108861	DRR122542	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108861.fa.gz
